pecan_id,customer_id,sampled_date,Marker,0,c1_val,c1_origin,c1_name,c2_val,c2_origin,c2_name,c3_val,c3_origin,c3_name,c4_val,c4_origin,c4_name,c5_val,c5_origin,c5_name,c6_val,c6_origin,c6_name,c7_val,c7_origin,c7_name,c8_val,c8_origin,c8_name,c9_val,c9_origin,c9_name,c10_val,c10_origin,c10_name
2,15625426,2024-11-10,2024-11-10,80452.6133810092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15588537,2024-11-10,2024-11-10,106034.44607818799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15587562,2024-11-10,2024-11-10,115285.7075050258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,15654506,2024-11-10,2024-11-10,93937.90329561441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,15586310,2024-11-10,2024-11-10,108704.14877467179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,15708710,2024-11-10,2024-11-10,106315.6773543635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,15625524,2024-11-10,2024-11-10,113453.25419854742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,15724623,2024-11-10,2024-11-10,105500.42856277278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,15645248,2024-11-10,2024-11-10,108438.3352623101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,15611325,2024-11-10,2024-11-10,92224.67962022669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,15789669,2024-11-10,2024-11-10,91192.49286183195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,15585388,2024-11-10,2024-11-10,115392.28737344795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,15755209,2024-11-10,2024-11-10,92963.85246896178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,15771977,2024-11-10,2024-11-10,99973.70850757073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,15574692,2024-11-10,2024-11-10,94249.74345175225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15810845,2024-11-10,2024-11-10,101397.86770397292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,15762615,2024-11-10,2024-11-10,108998.50641170482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,15621075,2024-11-10,2024-11-10,105858.24577564401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,15719377,2024-11-10,2024-11-10,87866.47343874586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,15651022,2024-11-10,2024-11-10,99370.74905200381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,15726676,2024-11-10,2024-11-10,103288.42243335828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15613172,2024-11-10,2024-11-10,103648.8453478092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,15716334,2024-11-10,2024-11-10,81363.73038931901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,15790355,2024-11-10,2024-11-10,116601.91632975367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
